name,feature,feature_olink,code,categories,sumOfWeightsCentrality,eigenCentrality,betweennessCentrality,partition
Growth/differentiation factor 2,GDF_2,GDF-2,Q9UK05,"Angiogenesis, Blood vessel morphogenesis, MAPK cascade",1.2979711981659554,0.07712701570447707,0.1503419972640219,2
Vascular endothelial growth factor D,VEGFD,VEGFD,O43915,"Angiogenesis, Blood vessel morphogenesis, Response to hypoxia",0.032427316824841346,0.0015309293176536088,0.06703146374829001,2
Angiopoietin-1 receptor,TIE2,TIE2,Q02763,"Angiogenesis, Blood vessel morphogenesis, Cell adhesion, Heart development, Inflammatory response, MAPK cascade, Response to hypoxia, Response to peptide hormone",1.8426937250003474,0.10658812562753532,0.06894664842681258,2
Heme oxygenase 1,HO_1,HO-1,P09601,"Angiogenesis, Blood vessel morphogenesis, Catabolic process, Immune response, Inflammatory response, Regulation of blood pressure, Response to hypoxia, Wound healing",,,,
Decorin,DCN,DCN,P07585,"Angiogenesis, Blood vessel morphogenesis, Catabolic process, Wound healing",0.07072201165088765,0.0005910860936292325,0.11272229822161423,0
Serine/threonine-protein kinase 4,STK4,STK4,Q13043,"Angiogenesis, Blood vessel morphogenesis, Heart development",0.7511675998218871,0.043261150877627705,0.0,1
Placenta growth factor,PGF,PGF,P49763,"Angiogenesis, Blood vessel morphogenesis, Response to hypoxia",1.4907612975988593,0.020232236232238382,0.0,0
Interleukin-6,IL6,IL6,P05231,"Angiogenesis, Blood vessel morphogenesis, Cell adhesion, Coagulation, Immune response, Inflammatory response, MAPK cascade, Platelet activation, Proteolysis, Response to peptide hormone, Wound healing",0.08980975810169171,0.0008524486319192829,0.2651162790697674,0
Leptin,LEP,LEP,P41159,"Angiogenesis, Blood vessel morphogenesis, Catabolic process, Cell adhesion, Immune response, Inflammatory response, MAPK cascade, Regulation of blood pressure, Response to hypoxia, Response to peptide hormone",0.045062165699010864,0.0011684725675042678,0.06894664842681258,0
Heat shock 27 kDa protein,HSP_27,HSP 27,P04792,"Angiogenesis, Catabolic process, Cell adhesion, Coagulation, Platelet activation, Wound healing",0.9811127103931184,0.07061507213101881,0.0,2
Thrombospondin-2,THBS2,THBS2,P35442,"Angiogenesis, Blood vessel morphogenesis, Cell adhesion",0.47104255990571725,0.029413333951398602,0.0,2
Interleukin-18,IL18,IL-18,Q14116,"Angiogenesis, Blood vessel morphogenesis, Cell adhesion, Immune response, Inflammatory response, MAPK cascade",0.26094123687749715,0.0042967535521356405,0.0,0
ADM,ADM,ADM,P35318,"Angiogenesis, Blood vessel morphogenesis, Heart development, Immune response, Response to hypoxia, Response to peptide hormone",0.6713031076273468,0.04031083700917363,0.06785225718194254,2
Angiopoietin-1,ANGPT1,ANGPT1,Q15389,"Angiogenesis, Blood vessel morphogenesis, Cell adhesion, Immune response, MAPK cascade",2.724363432808579,0.3613643593614979,0.07277701778385773,1
Natriuretic peptides B,BNP,BNP,P16860,"Angiogenesis, Blood vessel morphogenesis, Regulation of blood pressure",0.1373891125685466,0.00814136792775302,0.38180574555403557,2
Tissue factor,TF,TF,P13726,"Angiogenesis, Blood vessel morphogenesis, Coagulation, Inflammatory response, Proteolysis, Wound healing",0.6107377849110108,0.00916953756772721,0.0,0
Matrix metalloproteinase-7,MMP7,MMP-7,P09237,"Catabolic process, Proteolysis",0.6476555410622897,0.012345699410436485,0.0,0
Alpha-L-iduronidase,IDUA,IDUA,P35475,Catabolic process,0.0345554308812528,0.0019077052134054842,0.04623803009575923,2
Protein AMBP,AMBP,AMBP,P02760,"Catabolic process, Cell adhesion, Immune response, MAPK cascade",0.14952421841700383,0.0017680671798440408,0.466484268125855,0
"Fatty acid-binding protein, intestinal",FABP2,FABP2,P12104,Catabolic process,0.8922631696897204,0.06675045482157954,0.0,2
"2,4-dienoyl-CoA reductase, mitochondrial",DECR1,DECR1,Q16698,Catabolic process,0.1949682466349237,0.005058972533749662,0.08864569083447332,1
Cathepsin L1,CTSL1,CTSL1,P07711,"Catabolic process, Immune response, Proteolysis",0.6891196094298876,0.030056738079462603,0.0,2
Brother of CDO,BOC,BOC,Q9BWV1,"Catabolic process, Cell adhesion",2.412858991296919,0.17379635345780942,0.0,2
Gastrotropin,GT,GT,P51161,Catabolic process,0.10510927122925864,0.006444490807271423,0.1094391244870041,2
Fibroblast growth factor 23,FGF_23,FGF-23,Q9GZV9,"Catabolic process, MAPK cascade",0.5678262940029246,0.03968362519968267,0.06812585499316005,2
Hydroxyacid oxidase 1,HAOX1,HAOX1,Q9UJM8,Catabolic process,0.4290094819966836,0.026518176201747144,0.0,2
Receptor for advanced glycosylation end products,RAGE,RAGE,Q15109,"Catabolic process, Cell adhesion, Immune response, Inflammatory response",0.279718354703327,0.005233603603768055,0.08974008207934336,0
A disintegrin and metalloproteinase with thrombospondin motifs 13,ADAM_TS13,ADAM-TS13,Q76LX8,"Catabolic process, Cell adhesion, Coagulation, Immune response, Platelet activation, Proteolysis, Wound healing",1.890490988258802,0.11974752316259175,0.022845417236662106,2
Angiotensin-converting enzyme 2,ACE2,ACE2,Q9BYF1,"Catabolic process, Inflammatory response, Proteolysis, Regulation of blood pressure",0.09269806152137548,0.0026347250417622027,0.0,2
Matrix metalloproteinase-12,MMP12,MMP-12,P39900,"Catabolic process, Proteolysis, Wound healing",0.4313130189915775,0.008355201086960666,0.1325581395348837,0
Lipoprotein lipase,LPL,LPL,P06858,"Catabolic process, Inflammatory response",,,,
Prolargin,PRELP,PRELP,P51888,Catabolic process,3.212749596984498,0.2114392348044714,0.14883720930232558,2
T-cell surface glycoprotein CD4,CD4,CD4,P01730,"Cell adhesion, Immune response",0.1142488695309293,0.0010076655978122197,0.023255813953488372,0
CD40 ligand,CD40_L,CD40-L,P29965,"Cell adhesion, Coagulation, Immune response, Inflammatory response, MAPK cascade, Platelet activation, Wound healing",2.7505000712208783,0.34105390956514525,0.04596443228454172,1
Galectin-9,GAL_9,Gal-9,O00182,"Cell adhesion, Immune response, Inflammatory response, MAPK cascade, Proteolysis",0.6085633922302257,0.007541601607338625,0.0,0
Proto-oncogene tyrosine-protein kinase Src,SRC,SRC,P12931,"Cell adhesion, Coagulation, Immune response, MAPK cascade, Platelet activation, Proteolysis, Response to hypoxia, Response to peptide hormone, Wound healing",0.5788229205217007,0.05461632362146049,0.08891928864569083,1
Protein-glutamine gamma-glutamyltransferase 2,TGM2,TGM2,P21980,Cell adhesion,0.1310184307767596,0.006197548001820436,0.306703146374829,1
Lymphotactin,XCL1,XCL1,P47992,"Cell adhesion, Immune response, Inflammatory response, MAPK cascade",,,,
SLAM family member 7,SLAMF7,SLAMF7,Q9NQ25,"Cell adhesion, Immune response",0.6367054358392239,0.03569712824363147,0.0,2
Programmed cell death 1 ligand 2,PD_L2,PD-L2,Q9BQ51,"Cell adhesion, Immune response",,,,
Interleukin-27,IL_27,IL-27,"Q8NEV9,Q14213","Cell adhesion, Immune response, Inflammatory response",0.08859055346791475,0.002977326743659068,0.3426812585499316,2
P-selectin glycoprotein ligand 1,PSGL_1,PSGL-1,Q14242,Cell adhesion,0.002782289676333768,0.00037959144875112716,0.31149110807113545,1
Interleukin-1 receptor antagonist protein,IL_1RA,IL-1ra,P18510,"Cell adhesion, Inflammatory response",0.33570773320905456,0.012984128358689258,0.0,0
Stem cell factor,SCF,SCF,P21583,"Cell adhesion, MAPK cascade",1.6548041846251194,0.13013925015316644,0.023255813953488372,2
Lectin-like oxidized LDL receptor 1,LOX_1,LOX-1,P78380,"Cell adhesion, Inflammatory response, Proteolysis",1.4281160879469201,0.12804160711807852,0.023255813953488372,1
Interleukin-4 receptor subunit alpha,IL_4RA,IL-4RA,P24394,"Cell adhesion, Immune response, Inflammatory response",0.13701393061031406,0.0054731917244443175,0.0,0
Interleukin-1 receptor-like 2,IL1RL2,IL1RL2,Q9HB29,"Cell adhesion, Immune response, Inflammatory response",0.08048469521111556,0.0032564327203277654,0.0,0
Tyrosine-protein kinase Mer,MERTK,MERTK,Q12866,"Cell adhesion, Coagulation, Platelet activation, Wound healing",1.9072584970762614,0.13661558973937007,0.0,2
Spondin-2,SPON2,SPON2,Q9BUD6,"Cell adhesion, Immune response",1.5662092059714845,0.0432963796850845,0.0,0
SLAM family member 5,CD84,CD84,Q9UIB8,"Cell adhesion, Immune response",2.515832433492208,0.31207232874934443,0.6154582763337894,1
Proteinase-activated receptor 1,PAR_1,PAR-1,P25116,"Coagulation, Inflammatory response, MAPK cascade, Platelet activation, Proteolysis, Regulation of blood pressure, Wound healing",2.529196830969387,0.18575137860866275,0.0,2
